dt,team,player_name,gsis_id,espn_id,pos_grp,pos_abb,pos_slot,pos_rank
2026-08-07T08:11:40Z,ARI,Josh Sweat,00-0034381,3693166,Base 4-3 D,LDE,1,1
2026-08-07T08:11:40Z,ARI,Roy Lopez,00-0036568,4040805,Base 4-3 D,LDT,2,1
2026-08-07T08:11:40Z,ARI,Walter Nolen III,00-0040706,4685503,Base 4-3 D,RDT,3,1
2026-08-07T08:11:40Z,ARI,Darius Robinson,00-0039854,4569480,Base 4-3 D,RDE,4,1
2026-08-07T08:11:40Z,ARI,Cody Simon,00-0040645,4429071,Base 4-3 D,WLB,5,1
2026-08-07T08:11:40Z,ARI,Mack Wilson Sr.,00-0035144,4040983,Base 4-3 D,MLB,6,1
2026-08-07T08:11:40Z,ARI,Zaven Collins,00-0036933,4244606,Base 4-3 D,SLB,7,1
2026-08-07T08:11:40Z,ARI,Will Johnson,00-0040751,4685408,Base 4-3 D,LCB,8,1
2026-08-07T08:11:40Z,ARI,Budda Baker,00-0033890,3127287,Base 4-3 D,SS,9,1
2026-08-07T08:11:40Z,ARI,Andrew Wingard,00-0035378,3918331,Base 4-3 D,FS,10,1
2026-08-07T08:11:40Z,ARI,Denzel Burke,00-0040195,4432668,Base 4-3 D,RCB,11,1
2026-08-07T08:11:40Z,ARI,Garrett Williams,00-0039007,4568506,Base 4-3 D,NB,12,1
2026-08-07T08:11:40Z,ARI,Jordan Burch,00-0040137,4428996,Base 4-3 D,LDE,1,2
2026-08-07T08:11:40Z,ARI,Zachary Carter,00-0037804,4240619,Base 4-3 D,LDT,2,2
2026-08-07T08:11:40Z,ARI,Andrew Billings,00-0033066,3051775,Base 4-3 D,RDT,3,2
2026-08-07T08:11:40Z,ARI,Dante Stills,00-0038623,4362225,Base 4-3 D,RDE,4,2
2026-08-07T08:11:40Z,ARI,Owen Pappoe,00-0038600,4567219,Base 4-3 D,WLB,5,2
2026-08-07T08:11:40Z,ARI,Jack Gibbens,00-0037596,4249739,Base 4-3 D,MLB,6,2
2026-08-07T08:11:40Z,ARI,Baron Browning,00-0036995,4241987,Base 4-3 D,SLB,7,2
2026-08-07T08:11:40Z,ARI,Sean Murphy-Bunting,00-0035239,3932886,Base 4-3 D,LCB,8,2
2026-08-07T08:11:40Z,ARI,Kitan Crawford,00-0040230,4430821,Base 4-3 D,SS,9,2
2026-08-07T08:11:40Z,ARI,Dadrion Taylor-Demerson,00-0039864,4428633,Base 4-3 D,FS,10,2
2026-08-07T08:11:40Z,ARI,Starling Thomas V,00-0038663,4363408,Base 4-3 D,RCB,11,2
2026-08-07T08:11:40Z,ARI,Isaiah Oliver,00-0034357,3915437,Base 4-3 D,NB,12,2
2026-08-07T08:11:40Z,ARI,Jonah Williams,00-0035944,4032481,Base 4-3 D,LDE,1,3
2026-08-07T08:11:40Z,ARI,Brodric Martin-Rhodes,00-0038939,4365457,Base 4-3 D,LDT,2,3
2026-08-07T08:11:40Z,ARI,L.J. Collier,00-0035636,3116449,Base 4-3 D,RDT,3,3
2026-08-07T08:11:40Z,ARI,Eku Leota,00-0038782,4361272,Base 4-3 D,RDE,4,3
2026-08-07T08:11:40Z,ARI,Karson Sharar,00-0041093,4709695,Base 4-3 D,WLB,5,3
2026-08-07T08:11:40Z,ARI,Austin Keys,00-0040501,4429185,Base 4-3 D,MLB,6,3
2026-08-07T08:11:40Z,ARI,BJ Ojulari,00-0039155,4429111,Base 4-3 D,SLB,7,3
2026-08-07T08:11:40Z,ARI,Elijah Jones,00-0039823,4360203,Base 4-3 D,LCB,8,3
2026-08-07T08:11:40Z,ARI,Joey Blount,00-0037141,4240824,Base 4-3 D,FS,10,3
2026-08-07T08:11:40Z,ARI,Max Melton,00-0039807,4698113,Base 4-3 D,RCB,11,3
2026-08-07T08:11:40Z,ARI,Kei'Trel Clark,00-0038984,4426923,Base 4-3 D,NB,12,3
2026-08-07T08:11:40Z,ARI,Cam Horsley,00-0040517,4431147,Base 4-3 D,LDT,2,4
2026-08-07T08:11:40Z,ARI,Damonic Williams,00-0041369,4685582,Base 4-3 D,RDT,3,4
2026-08-07T08:11:40Z,ARI,Cameron Robertson,,4900789,Base 4-3 D,RDE,4,4
2026-08-07T08:11:40Z,ARI,Elliott Brown,00-0039956,4240826,Base 4-3 D,SLB,7,4
2026-08-07T08:11:40Z,ARI,Elijah Culp,00-0041364,4572261,Base 4-3 D,LCB,8,4
2026-08-07T08:11:40Z,ARI,Wydett Williams Jr.,00-0041370,5099542,Base 4-3 D,FS,10,4
2026-08-07T08:11:40Z,ARI,Kalen King,00-0039239,4431433,Base 4-3 D,NB,12,4
2026-08-07T08:11:40Z,ARI,Kaleb Proctor,00-0041555,5084514,Base 4-3 D,LDT,2,5
2026-08-07T08:11:40Z,ARI,Quinton Newsome,00-0039767,4428113,Base 4-3 D,NB,12,5
2026-08-07T08:11:40Z,ARI,PJ Mustipher,00-0038795,4361421,Base 4-3 D,LDT,2,6
2026-08-07T08:11:40Z,ARI,Chad Ryland,00-0038567,4363538,Special Teams,PK,1,1
2026-08-07T08:11:40Z,ARI,Blake Gillikin,00-0035859,4045180,Special Teams,P,2,1
2026-08-07T08:11:40Z,ARI,Blake Gillikin,00-0035859,4045180,Special Teams,H,3,1
2026-08-07T08:11:40Z,ARI,Devin Duvernay,00-0036331,4039050,Special Teams,PR,4,1
2026-08-07T08:11:40Z,ARI,Devin Duvernay,00-0036331,4039050,Special Teams,KR,5,1
2026-08-07T08:11:40Z,ARI,Casey Kreiter,00-0030957,17304,Special Teams,LS,6,1
2026-08-07T08:11:40Z,ARI,Ihmir Smith-Marsette,00-0036635,4240573,Special Teams,PR,4,2
2026-08-07T08:11:40Z,ARI,Ihmir Smith-Marsette,00-0036635,4240573,Special Teams,KR,5,2
2026-08-07T08:11:40Z,ARI,Max Melton,00-0039807,4698113,Special Teams,PR,4,3
2026-08-07T08:11:40Z,ARI,Michael Wilson,00-0038559,4360761,Special Teams,KR,5,3
2026-08-07T08:11:40Z,ARI,Bam Knight,00-0037157,4427728,Special Teams,PR,4,4
2026-08-07T08:11:40Z,ARI,Xavier Weaver,00-0039521,4428811,Special Teams,KR,5,4
2026-08-07T08:11:40Z,ARI,Marvin Harrison Jr.,00-0039849,4432708,3WR 1TE,WR,1,1
2026-08-07T08:11:40Z,ARI,Paris Johnson Jr.,00-0038540,4428991,3WR 1TE,LT,3,1
2026-08-07T08:11:40Z,ARI,Isaac Seumalo,00-0032954,2978247,3WR 1TE,LG,4,1
2026-08-07T08:11:40Z,ARI,Hjalte Froholdt,00-0035258,3886633,3WR 1TE,C,5,1
2026-08-07T08:11:40Z,ARI,Isaiah Adams,00-0039808,5084939,3WR 1TE,RG,6,1
2026-08-07T08:11:40Z,ARI,Elijah Wilkinson,00-0033676,3059839,3WR 1TE,RT,7,1
2026-08-07T08:11:40Z,ARI,Jacoby Brissett,00-0033119,2578570,3WR 1TE,QB,9,1
